KO ID	Name	Definition	Gene Count
KO:K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:1.1.1.1]	16
KO:K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	3
KO:K00003	E1.1.1.3	homoserine dehydrogenase [EC:1.1.1.3]	35
KO:K00005	gldA	glycerol dehydrogenase [EC:1.1.1.6]	6
KO:K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	1
KO:K00008	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]	14
KO:K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1
KO:K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	7
KO:K00011	E1.1.1.21, AKR1	aldehyde reductase [EC:1.1.1.21]	1
KO:K00012	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	65
KO:K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]	37
KO:K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]	29
KO:K00015	gyaR	glyoxylate reductase [EC:1.1.1.26]	1
KO:K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]	10
KO:K00018	hprA	glycerate dehydrogenase [EC:1.1.1.29]	30
KO:K00019	E1.1.1.30, bdh	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	6
KO:K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	3
KO:K00023	E1.1.1.36, phbB	acetoacetyl-CoA reductase [EC:1.1.1.36]	3
KO:K00024	mdh	malate dehydrogenase [EC:1.1.1.37]	29
KO:K00025	MDH1	malate dehydrogenase [EC:1.1.1.37]	3
KO:K00027	E1.1.1.38, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	24
KO:K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	28
KO:K00030	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	8
KO:K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]	30
KO:K00033	PGD, gnd	6-phosphogluconate dehydrogenase [EC:1.1.1.44]	11
KO:K00034	gdh	glucose 1-dehydrogenase [EC:1.1.1.47]	1
KO:K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]	11
KO:K00037	E1.1.1.50	3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50]	1
KO:K00039	rbtD	ribitol 2-dehydrogenase [EC:1.1.1.56]	1
KO:K00040	uxuB	fructuronate reductase [EC:1.1.1.57]	7
KO:K00041	uxaB	tagaturonate reductase [EC:1.1.1.58]	23
KO:K00042	E1.1.1.60, garR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	4
KO:K00043	gbd	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	2
KO:K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]	4
KO:K00046	idnO	gluconate 5-dehydrogenase [EC:1.1.1.69]	25
KO:K00048	fucO	lactaldehyde reductase [EC:1.1.1.77]	20
KO:K00050	ttuD	hydroxypyruvate reductase [EC:1.1.1.81]	6
KO:K00052	leuB	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	31
KO:K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	27
KO:K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	29
KO:K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	46
KO:K00059	fabG	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	65
KO:K00060	tdh	threonine 3-dehydrogenase [EC:1.1.1.103]	11
KO:K00063	ARA1	D-arabinose 1-dehydrogenase [EC:1.1.1.117]	1
KO:K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	3
KO:K00065	kduD	2-deoxy-D-gluconate 3-dehydrogenase [EC:1.1.1.125]	2
KO:K00066	algD	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	1
KO:K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	42
KO:K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	13
KO:K00075	murB	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	34
KO:K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	3
KO:K00077	panE, apbA	2-dehydropantoate 2-reductase [EC:1.1.1.169]	17
KO:K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	7
KO:K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	3
KO:K00085	E1.1.1.200	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]	2
KO:K00086	dhaT	1,3-propanediol dehydrogenase [EC:1.1.1.202]	4
KO:K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	3
KO:K00088	guaB	IMP dehydrogenase [EC:1.1.1.205]	46
KO:K00090	E1.1.1.215	gluconate 2-dehydrogenase [EC:1.1.1.215]	1
KO:K00091	E1.1.1.219	dihydroflavonol-4-reductase [EC:1.1.1.219]	6
KO:K00094	E1.1.1.251, gatD	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	2
KO:K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	6
KO:K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	14
KO:K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	42
KO:K00100	E1.1.1.-		48
KO:K00102	E1.1.2.4, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	2
KO:K00104	glcD	glycolate oxidase [EC:1.1.3.15]	5
KO:K00106	XDH	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	2
